respondent_id,UGorGRAD,class_level,first_choice,gender,I01_importance,I01_satisfaction,I02_importance,I02_satisfaction,I03_importance,I03_satisfaction,I04_importance,I04_satisfaction,I05_importance,I05_satisfaction,I06_importance,I06_satisfaction,I07_importance,I07_satisfaction,I08_importance,I08_satisfaction,I09_importance,I09_satisfaction,I10_importance,I10_satisfaction,I11_importance,I11_satisfaction,I12_importance,I12_satisfaction
S208728,UG,Junior,Yes,Female,4.83,3.89,5.49,4.04,5.37,4.57,5.52,4.61,6.05,5.66,5.45,5.28,5.74,4.56,5.84,6.4,5.82,4.97,6.25,5.91,5.84,4.84,6.27,5.53
S428245,UG,Freshman,Yes,Female,5.51,4.42,5.24,4.7,5.89,5.42,6.14,6.05,5.64,5.46,6.29,5.05,5.76,4.99,6.08,5.16,5.82,5.16,6.33,5.9,5.31,4.48,5.82,4.53
S637175,UG,Sophomore,Yes,Male,5.25,4.67,4.92,4.33,5.17,4.38,5.31,3.93,6.87,5.82,5.02,3.8,5.32,5.13,5.52,4.62,6.71,6.0,5.65,5.63,6.37,6.38,4.48,3.65
S623537,UG,Junior,Yes,Female,5.89,5.49,5.43,5.04,5.81,4.35,4.45,4.05,4.65,3.23,5.04,3.91,5.67,5.28,6.11,5.4,4.76,4.35,4.65,4.35,6.66,6.13,5.11,4.75
S598776,GRAD,Masters,No,Male,6.5,4.99,5.81,5.15,6.48,5.38,5.6,4.34,5.76,5.11,6.11,5.32,6.38,6.53,5.27,4.03,5.34,4.92,5.43,3.65,6.11,5.61,6.29,5.29
S192349,UG,Sophomore,No,Female,4.57,2.81,6.06,4.45,6.05,4.9,5.54,3.85,4.72,3.95,5.65,6.22,5.77,4.91,4.43,3.87,6.19,5.79,5.54,4.28,4.77,4.1,5.97,4.22
S581654,UG,Junior,Yes,Female,5.77,4.58,5.37,5.91,5.45,4.97,5.46,4.53,4.2,2.76,5.43,5.05,5.22,3.42,5.45,4.58,5.9,5.9,5.4,4.24,6.6,6.56,6.75,5.59
S064910,UG,Junior,Yes,Male,5.6,4.86,5.45,4.11,5.85,5.9,5.63,5.68,5.88,4.93,6.23,5.85,5.14,4.04,5.74,5.82,5.81,5.55,5.73,4.44,6.65,5.38,6.71,5.74
S722453,UG,Freshman,Yes,Female,6.1,5.81,5.14,4.27,5.56,4.96,5.86,5.62,5.78,4.87,5.34,5.12,5.43,3.63,5.53,4.63,5.13,4.51,5.96,4.35,5.71,4.21,5.49,4.43
S167753,UG,Freshman,Yes,Female,5.83,5.54,5.68,5.58,5.7,4.4,5.61,4.25,5.53,5.42,5.58,4.82,5.74,4.6,5.0,3.33,5.35,4.59,6.21,6.4,6.49,5.3,7.0,5.58
S975885,UG,Freshman,No,Female,5.25,4.09,5.19,4.83,5.5,5.37,4.94,4.13,5.64,4.4,6.54,5.85,6.42,5.0,4.61,4.21,6.45,5.68,5.53,5.25,5.37,3.83,5.71,4.28
S968979,GRAD,Masters,Yes,Male,5.51,4.7,6.04,4.61,5.6,5.53,5.99,5.35,7.0,6.86,6.62,6.44,4.9,3.31,5.39,5.17,5.67,6.25,4.56,4.36,4.58,4.15,5.12,4.24
S804447,GRAD,Masters,No,Male,5.22,3.72,4.63,4.3,5.83,4.96,4.53,3.35,5.55,5.31,6.64,6.37,5.51,4.52,6.24,5.79,5.93,4.34,5.41,4.85,5.24,4.76,5.32,3.99
S286497,GRAD,Masters,Yes,Female,6.35,5.42,5.48,5.46,5.1,5.0,4.47,3.52,6.01,5.58,5.53,5.29,5.79,5.28,6.45,5.79,5.63,4.49,5.73,5.28,6.74,6.53,4.35,4.29
S772870,GRAD,Masters,Yes,Female,5.71,5.86,5.88,4.71,5.09,4.89,6.14,5.4,5.31,5.0,6.44,5.28,4.6,3.48,6.41,6.34,4.99,4.17,6.43,6.06,4.81,3.88,6.66,6.82
S836768,UG,Freshman,No,Female,6.84,5.41,5.81,4.74,4.87,4.18,6.0,5.21,5.88,5.09,5.13,4.56,5.2,3.57,5.21,4.1,6.26,4.41,5.36,4.35,5.7,4.69,6.66,5.68
S258897,GRAD,Masters,No,Male,5.66,5.36,7.0,6.67,4.74,4.62,5.67,5.02,5.56,5.48,5.16,4.61,5.29,4.73,5.01,3.78,6.0,5.69,6.01,5.19,5.72,4.96,5.09,4.26
S173014,UG,Senior,No,Male,5.27,4.57,5.91,4.9,4.97,4.56,4.86,3.53,5.45,4.07,4.29,3.62,5.22,4.68,6.0,4.83,7.0,5.16,5.87,5.34,5.39,3.84,5.56,4.94
S340514,UG,Junior,No,Female,4.79,3.77,5.1,4.71,5.8,4.54,5.28,4.1,6.79,5.33,6.7,5.63,5.82,4.85,6.08,6.07,5.09,4.67,5.73,5.91,5.43,4.33,5.76,4.44
S086518,UG,Sophomore,Yes,Female,4.62,2.92,5.64,4.39,5.16,5.12,5.54,4.97,6.41,6.68,5.18,4.25,5.6,4.49,5.94,4.74,6.19,5.37,6.26,6.05,5.74,5.46,5.12,5.36
S799425,UG,Senior,No,Female,4.75,2.29,4.63,3.2,6.01,5.91,4.74,3.3,5.78,4.39,5.62,6.25,5.37,4.07,4.49,3.12,4.91,4.65,5.3,4.68,5.36,4.8,4.65,4.01
S744114,UG,Freshman,Yes,Male,5.86,4.86,5.65,4.69,5.72,5.34,5.26,4.62,4.32,4.02,5.15,3.94,5.96,5.97,5.18,4.06,5.79,5.09,5.35,4.78,4.85,3.81,5.57,5.12
S056745,UG,Freshman,No,Male,6.01,5.2,5.2,4.12,4.52,3.25,6.09,5.62,5.48,4.15,6.12,4.5,6.73,4.88,5.68,4.6,6.29,5.19,5.69,5.36,5.83,4.41,5.51,5.43
S282272,GRAD,Masters,Yes,Female,4.75,3.88,6.25,4.77,6.09,5.59,6.56,6.34,7.0,6.43,5.47,5.4,6.68,6.4,5.99,5.28,4.46,3.93,5.32,4.96,6.34,5.47,5.47,4.12
S162216,UG,Freshman,No,Female,6.24,4.89,5.37,4.47,6.19,5.52,5.45,5.04,5.56,4.65,4.92,4.5,4.55,3.78,6.16,4.74,5.58,4.32,6.0,5.67,6.22,4.37,5.83,5.61
S108420,UG,Sophomore,Yes,Female,5.41,4.87,5.63,5.52,5.1,4.38,6.15,5.59,6.36,5.75,5.96,5.49,6.05,5.8,5.79,4.12,5.36,4.61,5.27,4.63,5.21,3.7,6.56,6.15
S228489,UG,Junior,Yes,Male,5.79,4.19,5.32,4.39,5.95,6.12,4.55,3.23,6.57,5.26,4.84,4.52,5.59,3.54,5.9,5.67,5.28,4.84,5.84,5.67,4.95,4.03,5.52,4.36
S445251,UG,Freshman,Yes,Female,6.67,5.85,6.74,5.0,5.19,4.24,6.1,5.8,5.83,5.75,5.2,4.39,5.79,4.97,5.75,4.51,5.93,5.51,5.64,5.36,5.53,5.25,5.8,4.78
S993286,GRAD,Masters,No,Male,6.24,5.19,5.51,5.21,5.76,4.77,5.22,4.32,5.19,4.09,4.44,4.61,5.46,5.09,6.11,5.35,6.37,5.17,5.83,5.68,6.64,6.5,6.14,5.89
S226950,UG,Freshman,Yes,Male,5.54,4.51,6.8,6.28,4.94,4.45,5.88,5.51,4.24,2.99,4.85,4.7,5.77,4.64,5.89,5.25,5.62,5.25,5.42,4.8,6.09,5.58,6.03,4.99
S912082,GRAD,Masters,Yes,Female,5.17,4.35,6.19,5.38,4.62,3.52,5.55,5.08,6.11,5.15,5.81,4.44,5.79,4.81,5.74,5.91,5.82,4.77,5.5,5.33,6.12,5.15,5.33,4.59
S524750,GRAD,Doctoral,Yes,Female,4.41,3.39,5.99,5.42,5.47,5.43,6.49,6.65,5.21,3.45,4.52,4.39,5.35,4.85,5.54,5.08,5.77,4.56,5.76,4.7,6.23,4.72,5.76,3.99
S486449,UG,Sophomore,Yes,Female,5.27,4.88,5.92,5.71,5.63,4.36,5.18,4.59,5.81,5.37,4.81,3.49,5.16,4.04,5.75,5.55,5.7,5.84,5.82,4.92,5.95,5.04,6.03,5.13
S503615,UG,Sophomore,No,Male,5.57,4.95,5.94,4.48,5.46,4.48,6.08,5.27,4.95,3.57,5.7,4.62,5.43,4.94,5.99,5.32,5.05,3.58,5.7,4.83,5.77,4.29,5.02,4.19
S018922,GRAD,Masters,Yes,Male,5.11,5.06,4.54,2.78,4.99,4.56,5.53,4.66,5.54,4.99,5.37,5.68,5.84,5.49,5.86,5.81,6.37,4.73,6.72,6.52,6.1,5.62,6.46,6.29
S997809,GRAD,Masters,No,Male,5.62,4.6,5.53,4.63,5.46,4.67,5.61,4.69,5.72,4.3,6.9,5.78,6.06,6.26,5.93,5.35,5.88,4.95,5.11,4.12,5.37,4.26,6.56,6.13
S822665,GRAD,Doctoral,Yes,Male,5.75,4.76,6.21,6.06,5.86,5.32,5.59,5.59,5.86,5.27,6.8,6.26,6.21,6.27,6.51,6.11,5.94,5.04,5.66,4.72,4.85,3.84,5.27,5.08
S659432,GRAD,Masters,Yes,Female,5.57,4.74,5.67,5.85,5.67,4.46,5.19,4.05,5.03,4.63,5.18,4.81,5.4,3.9,5.86,5.21,5.22,4.1,4.76,4.08,6.13,6.52,5.82,4.53
S251206,UG,Freshman,No,Male,5.31,3.57,4.86,3.83,5.81,5.45,5.69,4.69,6.42,4.87,6.03,5.01,5.87,4.15,5.31,5.22,5.42,4.66,5.92,4.22,6.44,5.75,6.09,5.18
S256486,UG,Sophomore,No,Male,5.8,4.9,5.67,4.22,5.3,4.78,5.66,4.66,5.34,4.69,6.15,5.01,6.28,5.34,6.23,6.05,5.59,4.6,5.03,3.9,5.03,3.65,5.37,4.19
S307247,UG,Freshman,Yes,Female,5.97,4.93,6.72,5.78,6.4,5.18,5.84,5.15,4.7,4.7,5.34,4.29,6.4,4.87,4.88,4.0,4.78,4.74,5.53,4.38,6.19,5.36,5.99,4.53
S785367,GRAD,Masters,Yes,Nonbinary/Other,5.05,4.99,6.45,5.85,4.99,4.69,5.75,5.41,5.63,5.29,4.8,3.61,5.66,5.14,5.05,4.85,4.69,4.02,5.48,4.81,6.71,6.71,5.8,6.38
S326804,UG,Freshman,No,Male,6.55,5.84,5.66,5.06,5.99,4.64,6.18,5.17,5.72,4.51,5.69,4.59,5.57,4.79,5.9,4.46,5.34,4.19,5.87,4.63,5.7,6.01,4.82,3.28
S909622,UG,Freshman,Yes,Male,5.64,4.59,6.27,6.12,6.41,4.86,6.25,5.32,5.8,4.4,5.6,5.58,5.81,5.09,6.01,5.2,6.01,5.06,5.37,5.07,5.21,4.69,5.98,5.25
S163278,UG,Senior,No,Male,5.71,4.39,5.48,4.16,5.99,5.29,5.07,5.04,6.52,5.56,5.44,4.78,5.01,4.17,4.95,3.75,5.31,3.88,5.34,4.67,5.77,4.91,5.04,3.92
S807838,UG,Sophomore,No,Male,6.12,5.37,4.68,3.32,5.58,4.34,6.22,5.59,5.56,4.0,5.97,3.59,5.58,4.79,5.47,3.86,5.09,4.58,6.56,5.49,5.37,4.91,6.26,5.78
S115208,UG,Freshman,No,Male,5.84,4.98,5.15,5.02,5.38,5.06,4.99,4.22,5.63,5.41,5.25,3.99,6.15,4.68,5.34,4.59,5.21,4.58,5.87,4.8,5.33,4.36,5.3,4.77
S360639,GRAD,Doctoral,Yes,Female,6.27,6.43,6.64,5.24,6.32,5.34,6.05,5.32,5.04,4.66,5.01,3.22,6.09,5.41,5.41,5.1,5.43,3.88,5.36,4.51,5.96,5.11,5.6,4.76
S918352,UG,Senior,No,Female,5.87,5.15,5.54,4.35,4.85,3.85,6.07,4.58,6.19,5.44,5.77,4.17,5.54,4.28,6.27,4.93,5.49,4.66,5.55,4.1,4.74,3.5,6.52,4.43
S534973,GRAD,Masters,Yes,Male,5.33,4.29,5.55,4.25,5.12,4.28,4.55,4.34,5.81,5.27,5.93,5.21,5.83,4.71,6.12,5.27,7.0,6.3,6.69,6.8,4.83,5.41,6.0,4.9
S822290,UG,Sophomore,Yes,Female,5.92,4.93,5.52,5.49,5.46,5.08,5.76,5.3,5.45,4.71,4.99,4.14,5.21,4.31,5.69,5.08,6.33,5.67,5.56,5.35,5.71,5.67,5.05,3.72
S977124,UG,Senior,Yes,Female,5.01,4.06,6.84,6.83,6.44,6.57,5.42,4.98,4.56,3.51,6.26,5.58,6.12,5.91,5.37,3.98,6.31,6.03,5.29,4.47,5.69,5.14,5.09,4.49
S091017,GRAD,Masters,Yes,Female,5.77,5.14,6.68,6.15,5.93,5.08,5.24,5.05,6.57,6.19,4.64,4.91,5.65,5.73,4.89,4.4,6.4,4.99,5.29,5.05,5.91,5.02,5.34,5.04
S182013,GRAD,Masters,No,Female,5.68,4.88,7.0,5.95,5.12,5.35,6.51,5.88,4.96,4.09,5.35,4.54,5.53,4.66,6.55,5.74,5.1,4.56,5.37,2.88,6.83,5.78,5.94,5.53
S844484,UG,Junior,No,Male,5.58,5.01,5.6,3.81,5.51,4.77,5.31,4.02,5.35,4.47,5.55,4.04,5.48,4.67,6.06,5.14,4.97,4.63,5.34,4.19,5.76,4.63,5.91,5.26
S910907,GRAD,Masters,No,Male,5.62,4.47,5.88,4.72,5.33,4.06,5.22,4.94,5.92,5.58,5.32,4.82,5.66,4.82,5.28,4.94,5.04,4.46,4.93,4.17,6.06,5.45,5.19,5.42
S474073,UG,Sophomore,Yes,Female,4.57,3.66,4.79,4.21,5.27,4.48,5.75,4.83,4.98,4.34,5.36,4.45,5.43,4.74,6.13,5.39,6.5,6.8,5.03,4.58,5.11,4.58,5.0,4.66
S419414,UG,Sophomore,Yes,Female,5.37,4.42,6.59,6.4,6.29,4.61,6.11,6.26,4.8,4.18,6.82,5.7,6.09,4.1,5.66,4.26,5.37,5.0,5.2,4.74,6.16,5.82,5.87,5.45
S818047,UG,Sophomore,Yes,Female,5.76,5.32,5.0,3.68,4.88,3.66,5.62,5.2,4.43,3.81,5.19,4.94,5.46,5.43,5.53,4.61,4.95,4.73,6.05,5.34,5.38,4.3,5.59,4.98
S707429,UG,Sophomore,No,Male,5.8,5.97,5.83,5.41,6.67,6.09,6.4,5.66,6.13,5.22,7.0,6.33,6.66,6.75,5.96,5.05,5.44,4.23,5.47,4.52,5.74,5.3,6.99,6.03
S688004,UG,Junior,Yes,Male,5.08,3.83,5.04,3.53,6.2,5.48,6.02,4.48,5.37,4.64,5.96,5.77,6.58,5.71,5.26,4.64,5.56,5.19,5.58,5.1,5.63,4.51,5.72,4.84
S451734,UG,Junior,No,Female,6.46,5.8,5.35,4.59,6.35,5.48,4.39,3.63,7.0,6.32,5.76,5.27,5.17,4.45,5.49,4.43,5.86,4.52,6.46,5.7,6.32,5.32,6.79,5.9
S663225,UG,Sophomore,Yes,Male,5.18,4.91,5.2,3.7,5.42,5.51,5.38,5.78,5.1,3.77,5.99,5.93,5.74,4.88,5.77,4.7,5.85,4.45,6.48,5.1,4.91,4.24,5.0,4.59
S313768,UG,Senior,Yes,Male,6.28,5.23,5.34,4.3,5.61,5.38,5.36,5.66,5.15,5.03,7.0,6.75,5.31,4.32,5.4,4.4,5.2,4.11,5.53,4.14,4.33,3.96,4.76,5.04
S229917,UG,Freshman,No,Male,5.96,5.25,5.38,4.55,4.84,4.22,5.99,5.07,5.36,4.82,5.1,3.49,5.5,3.96,6.1,5.37,6.11,5.32,5.32,4.3,5.57,5.35,5.03,4.42
S355337,GRAD,Masters,Yes,Male,5.31,4.18,5.37,5.03,5.39,5.8,4.13,3.22,5.85,3.86,5.03,4.89,6.9,7.0,6.82,6.06,5.32,4.65,5.18,5.25,5.98,5.7,6.41,6.3
S379259,UG,Senior,No,Female,6.77,5.56,6.2,5.47,6.0,5.07,7.0,5.91,5.42,5.04,5.25,4.28,5.52,4.89,5.25,4.11,5.61,5.47,6.12,4.95,5.79,5.06,6.75,5.62
S505045,UG,Freshman,No,Male,4.98,3.74,5.04,3.92,6.48,5.7,6.02,5.03,6.07,5.84,5.72,5.07,5.92,4.8,4.7,4.3,6.11,5.28,5.58,3.9,6.44,6.72,5.23,3.88
S994116,GRAD,Masters,Yes,Female,6.25,6.33,5.83,5.19,5.04,5.27,5.79,4.61,5.11,4.15,4.66,3.48,6.02,5.04,4.5,3.81,5.31,5.15,5.47,4.18,5.96,5.46,5.42,4.35
S128267,UG,Sophomore,Yes,Male,6.3,4.99,6.43,6.03,5.48,4.58,6.41,5.98,4.87,5.21,5.71,4.36,5.1,3.3,5.61,5.99,5.36,4.31,5.21,4.14,5.36,4.2,5.0,3.92
S676079,UG,Junior,Yes,Male,5.3,4.47,5.39,4.77,5.61,4.55,7.0,5.85,4.62,4.04,6.72,5.58,5.19,4.01,5.3,4.36,6.06,4.07,5.24,3.83,4.3,3.32,4.61,3.98
S034352,UG,Freshman,No,Male,6.54,5.82,5.27,4.33,4.86,3.85,6.22,6.14,4.37,2.39,5.79,4.74,4.98,4.1,5.82,4.59,5.19,4.04,5.89,4.97,5.56,4.91,6.13,5.49
S670531,UG,Freshman,Yes,Male,5.55,4.78,5.56,5.93,6.05,5.52,6.27,6.02,5.39,5.46,5.52,4.94,5.17,4.91,5.78,4.71,5.47,5.76,4.91,3.9,6.32,5.59,5.83,5.51
S496027,GRAD,Masters,Yes,Female,5.87,6.16,6.41,5.58,5.27,4.37,5.78,6.08,5.52,5.91,5.33,5.33,3.99,3.67,4.74,4.34,6.03,5.61,6.3,6.04,5.46,5.14,5.71,5.86
S137275,GRAD,Masters,Yes,Male,5.86,5.05,5.82,5.71,5.58,4.64,5.62,5.15,5.32,5.47,6.24,4.67,6.03,5.72,4.61,3.86,6.93,6.27,5.38,4.63,5.72,5.04,4.86,3.76
S391211,UG,Junior,No,Nonbinary/Other,5.62,5.23,5.38,5.06,5.43,4.38,5.41,4.54,6.45,5.1,5.2,4.68,6.93,5.7,5.88,4.27,6.06,5.12,5.61,4.05,5.95,4.28,6.68,5.87
S917350,GRAD,Masters,Yes,Male,6.19,6.26,5.99,6.23,5.23,5.04,5.2,4.55,6.44,5.27,6.81,5.88,5.79,5.06,5.78,4.47,5.98,5.75,4.9,4.59,5.09,4.01,5.4,5.42
S144843,GRAD,Masters,No,Female,6.18,6.14,5.04,5.14,5.7,4.76,5.29,4.46,5.5,4.96,6.86,5.53,4.85,4.71,5.44,4.66,6.02,5.1,5.69,5.32,6.07,5.01,6.02,5.63
S431556,UG,Freshman,No,Female,4.65,3.19,6.11,5.89,5.57,4.07,4.89,4.45,4.62,3.38,5.85,5.23,5.31,4.63,4.71,3.74,5.06,4.78,5.5,4.55,6.68,6.03,4.83,4.36
