student_id,program_level,modality,college,age,credits_attempted,credits_completed,gpa_term,cum_gpa,satisfaction_overall,satisfaction_advising,satisfaction_online_services,satisfaction_facilities,nps_score,fin_aid_flag,pell_eligible,unmet_need,first_gen,retention_next_term
102,Undergraduate,Online,Health,20.0,9,8.0,3.52,3.49,3.5,3.6,3.7,3.3,9.0,1,0,4421.0,0,1
103,Undergraduate,Online,Sciences,22.0,11,9.0,2.24,2.26,3.3,3.4,3.8,3.2,5.0,1,0,749.0,1,0
104,Undergraduate,Online,Business,23.0,12,12.0,3.26,3.06,3.6,3.2,3.3,2.8,4.0,1,1,29.0,0,0
105,Graduate,Online,Engineering,31.0,10,8.0,3.24,3.11,3.1,2.9,3.6,2.5,9.0,0,0,4312.0,0,1
106,Undergraduate,On-campus,Business,16.0,10,9.0,1.35,1.3,2.1,2.2,3.4,3.6,4.0,1,0,4868.0,0,0
107,Undergraduate,Online,Health,22.0,7,6.0,2.96,2.97,3.3,2.9,3.6,3.0,7.0,0,0,2368.0,0,0
108,Graduate,Hybrid,Education,24.0,12,11.0,3.47,3.38,2.7,2.8,2.8,3.4,4.0,0,0,1633.0,0,1
109,Undergraduate,Online,Business,21.0,11,9.0,2.97,2.91,3.3,3.1,3.6,3.5,3.0,0,0,3320.0,1,0
110,Undergraduate,On-campus,Health,20.0,6,5.0,3.65,3.63,3.7,3.6,2.9,2.8,3.0,1,1,1111.0,0,1
111,Undergraduate,Hybrid,Health,23.0,9,7.0,2.63,2.48,2.5,2.7,3.3,3.1,6.0,1,1,0.0,1,1
112,Undergraduate,On-campus,Engineering,23.0,8,7.0,2.5,2.46,2.6,2.4,3.7,4.0,3.0,0,0,3124.0,0,1
113,Graduate,On-campus,Health,34.0,8,8.0,2.99,3.16,2.5,2.6,3.4,4.2,4.0,0,1,4023.0,0,1
114,Graduate,Online,Education,35.0,12,11.0,3.51,3.42,3.3,3.3,3.2,2.5,4.0,0,0,6784.0,0,0
115,Undergraduate,Online,Engineering,24.0,15,13.0,3.16,3.02,3.1,2.8,3.6,3.7,3.0,0,1,4342.0,1,0
116,Graduate,On-campus,Sciences,29.0,9,9.0,3.3,3.61,3.7,4.0,2.1,3.2,4.0,0,0,5209.0,1,1
117,Graduate,Hybrid,Health,26.0,13,11.0,3.46,3.49,3.1,3.4,3.1,3.5,5.0,1,0,868.0,0,0
118,Undergraduate,On-campus,Education,23.0,14,14.0,2.2,2.08,2.3,2.6,3.5,3.4,0.0,0,0,3858.0,0,0
119,Graduate,On-campus,Engineering,32.0,8,7.0,3.43,3.53,3.1,3.7,3.3,3.9,7.0,0,0,3670.0,1,1
120,Undergraduate,On-campus,Engineering,25.0,10,8.0,3.22,3.26,2.3,2.2,3.1,3.5,2.0,1,0,2989.0,0,1
121,Graduate,Online,Engineering,28.0,9,7.0,2.9,2.81,2.2,1.6,4.4,2.6,2.0,1,0,3395.0,0,1
122,Graduate,Online,Engineering,25.0,15,15.0,3.65,3.64,3.0,2.8,2.8,3.0,2.0,0,0,5429.0,0,0
123,Undergraduate,On-campus,Education,22.0,11,10.0,2.55,2.51,2.8,3.1,2.5,3.8,5.0,0,1,3548.0,0,0
124,Undergraduate,Hybrid,Business,22.0,15,12.0,3.26,3.41,3.1,3.1,3.3,3.0,8.0,1,0,1716.0,0,1
125,Undergraduate,Online,Health,22.0,9,8.0,2.82,2.92,3.5,3.1,3.9,2.8,5.0,1,1,3836.0,0,1
126,Undergraduate,On-campus,Health,22.0,13,11.0,2.88,2.56,2.2,1.7,3.5,3.1,5.0,0,0,5088.0,0,1
127,Graduate,Online,Health,29.0,8,7.0,3.28,3.57,3.3,3.7,3.3,2.9,6.0,1,0,3427.0,0,0
128,Graduate,On-campus,Education,30.0,10,9.0,2.83,2.79,2.2,2.4,2.8,3.3,6.0,1,0,2441.0,1,1
129,Undergraduate,Online,Sciences,19.0,6,6.0,3.23,3.49,3.4,3.3,3.1,3.4,3.0,0,0,5824.0,0,0
130,Undergraduate,Online,Sciences,21.0,11,10.0,3.04,3.15,2.7,3.3,3.6,3.0,8.0,1,0,614.0,0,0
131,Undergraduate,On-campus,Sciences,23.0,10,8.0,3.02,3.06,2.8,3.6,2.7,3.5,4.0,0,1,4839.0,0,0
132,Undergraduate,Online,Sciences,26.0,13,11.0,3.02,3.01,3.3,3.6,3.9,3.1,6.0,1,0,3832.0,1,0
133,Undergraduate,On-campus,Sciences,24.0,14,13.0,3.15,3.56,2.8,3.0,3.1,3.8,5.0,1,1,649.0,0,0
134,Undergraduate,On-campus,Business,19.0,13,9.0,3.08,3.04,2.0,2.2,2.8,3.9,3.0,1,0,1479.0,1,0
135,Graduate,Hybrid,Engineering,28.0,13,10.0,3.12,3.02,3.7,4.0,2.8,3.0,7.0,1,0,573.0,0,1
136,Undergraduate,Online,Health,23.0,8,7.0,2.73,2.64,2.9,3.5,2.9,3.1,6.0,1,1,2766.0,1,0
137,Undergraduate,Online,Health,26.0,9,7.0,2.86,2.86,2.5,2.2,3.2,3.5,0.0,0,0,128.0,0,0
138,Graduate,Online,Health,39.0,9,8.0,3.06,3.06,3.5,3.4,3.3,2.9,6.0,1,0,2835.0,0,0
139,Undergraduate,Hybrid,Business,24.0,10,8.0,3.58,3.73,3.6,3.6,3.3,3.0,10.0,0,0,2854.0,1,1
140,Graduate,Hybrid,Education,30.0,14,13.0,3.37,3.48,3.1,3.3,3.1,3.5,5.0,1,0,1024.0,0,0
141,Graduate,On-campus,Engineering,33.0,14,12.0,3.04,3.15,3.5,4.0,2.8,3.4,4.0,0,0,1183.0,1,0
142,Undergraduate,Hybrid,Sciences,25.0,15,15.0,2.77,2.74,2.6,2.7,2.6,3.3,4.0,0,0,2671.0,0,0
143,Undergraduate,On-campus,Business,25.0,6,5.0,3.52,3.62,3.2,3.4,3.0,3.0,4.0,1,0,4645.0,0,0
144,Undergraduate,On-campus,Business,21.0,13,13.0,3.76,3.88,3.5,3.7,2.3,3.8,3.0,1,0,1421.0,1,0
145,Undergraduate,Online,Engineering,20.0,6,5.0,2.27,2.26,3.4,3.4,3.4,3.1,5.0,0,1,4130.0,1,0
146,Undergraduate,On-campus,Engineering,23.0,7,7.0,2.87,2.91,2.1,2.0,3.5,3.8,4.0,0,0,2364.0,1,0
147,Undergraduate,Online,Sciences,25.0,12,10.0,2.0,2.12,3.6,3.6,3.4,3.6,7.0,1,1,3539.0,0,0
148,Undergraduate,Hybrid,Health,21.0,13,13.0,2.32,2.35,3.1,2.9,3.2,3.1,4.0,1,0,3408.0,1,0
149,Undergraduate,On-campus,Health,25.0,6,6.0,2.35,2.4,2.8,2.6,3.1,3.0,9.0,0,1,3158.0,0,1
150,Undergraduate,On-campus,Business,26.0,8,5.0,3.16,3.37,2.7,2.8,2.5,3.5,3.0,0,1,3848.0,0,1
151,Graduate,Online,Health,31.0,12,11.0,3.71,3.74,3.2,3.1,4.2,3.7,5.0,1,0,2976.0,0,0
152,Undergraduate,Online,Engineering,19.0,14,13.0,3.29,3.2,3.5,4.1,3.3,3.3,4.0,0,1,1998.0,1,1
153,Undergraduate,Online,Health,22.0,13,13.0,3.24,3.04,3.5,3.5,3.5,2.8,4.0,1,0,1280.0,0,1
154,Undergraduate,Online,Business,23.0,13,10.0,3.1,3.12,3.4,3.8,3.2,3.1,5.0,1,0,3877.0,1,0
155,Graduate,Online,Business,36.0,14,13.0,3.68,3.63,3.6,3.2,4.0,3.4,6.0,0,0,6320.0,0,1
156,Undergraduate,Hybrid,Health,26.0,15,13.0,2.89,3.01,3.1,2.7,2.5,3.1,7.0,0,1,3720.0,0,0
157,Undergraduate,On-campus,Sciences,23.0,8,7.0,3.38,3.62,2.2,2.2,3.6,3.5,3.0,1,1,3039.0,0,0
158,Graduate,Online,Education,30.0,13,12.0,3.05,2.9,3.1,3.4,3.4,2.9,2.0,1,0,4307.0,0,1
159,Undergraduate,Online,Sciences,18.0,6,6.0,3.21,3.08,2.8,2.7,3.3,2.9,8.0,0,0,3513.0,0,0
160,Graduate,Online,Engineering,25.0,13,11.0,3.48,3.48,3.4,3.4,3.2,3.3,3.0,0,0,3885.0,0,0
161,Undergraduate,On-campus,Business,23.0,12,11.0,2.5,2.38,3.2,3.5,3.8,3.8,5.0,0,0,5072.0,0,0
162,Undergraduate,On-campus,Education,16.0,13,11.0,3.33,3.3,2.7,2.6,2.5,3.5,5.0,1,0,5775.0,0,0
163,Undergraduate,Hybrid,Engineering,25.0,6,5.0,2.7,2.62,2.6,2.4,2.9,3.0,4.0,1,0,3624.0,0,0
164,Undergraduate,Online,Business,22.0,11,10.0,2.41,2.26,2.6,2.8,3.0,3.5,2.0,1,0,2955.0,0,1
165,Undergraduate,Hybrid,Education,32.0,12,11.0,3.23,3.35,2.8,2.4,2.4,3.0,7.0,0,1,2619.0,0,1
166,Graduate,Hybrid,Business,27.0,10,8.0,3.33,3.34,3.4,3.3,3.6,3.3,0.0,1,1,1913.0,0,0
167,Undergraduate,Online,Sciences,21.0,10,10.0,2.84,3.11,3.4,3.4,3.5,3.4,7.0,0,1,4531.0,0,0
168,Undergraduate,Hybrid,Education,22.0,12,12.0,3.6,3.65,3.9,4.1,2.6,2.7,8.0,1,0,3371.0,0,0
169,Undergraduate,Online,Health,25.0,8,7.0,3.5,3.69,3.0,3.2,3.8,3.3,7.0,1,1,1101.0,0,0
170,Undergraduate,Hybrid,Business,27.0,11,11.0,2.92,2.81,3.2,3.5,2.9,2.1,5.0,0,0,5965.0,1,1
171,Undergraduate,Online,Health,17.0,12,10.0,3.23,3.12,3.7,3.6,3.2,3.2,6.0,1,0,4467.0,0,1
172,Undergraduate,Hybrid,Engineering,17.0,6,6.0,2.1,2.43,3.2,3.5,3.3,3.4,4.0,0,1,3334.0,1,0
173,Undergraduate,Hybrid,Engineering,20.0,7,7.0,3.44,3.35,2.8,3.0,2.9,3.3,5.0,1,1,2420.0,1,1
174,Undergraduate,Hybrid,Engineering,24.0,9,8.0,2.54,2.4,2.0,2.2,2.7,3.5,5.0,1,0,1539.0,1,1
175,Undergraduate,On-campus,Education,23.0,13,11.0,2.36,2.18,2.5,2.3,3.4,3.7,2.0,0,0,2787.0,1,0
176,Undergraduate,Online,Engineering,25.0,15,12.0,2.2,2.49,3.9,4.1,3.4,3.0,5.0,0,0,4521.0,0,1
177,Undergraduate,Online,Health,18.0,11,10.0,2.22,2.18,2.4,2.4,3.8,2.6,4.0,1,0,1329.0,0,1
178,Undergraduate,Online,Sciences,15.0,6,6.0,3.43,3.49,3.6,3.6,3.3,3.2,8.0,1,1,2973.0,0,0
179,Graduate,Online,Sciences,39.0,15,11.0,3.37,3.39,2.5,2.5,3.9,3.4,3.0,0,0,3404.0,0,1
180,Undergraduate,On-campus,Health,20.0,10,9.0,2.66,2.55,3.5,4.1,3.1,2.9,7.0,1,0,4075.0,0,0
181,Undergraduate,Online,Education,16.0,12,10.0,3.28,3.24,2.6,2.3,3.9,3.4,5.0,0,0,3872.0,0,1
182,Undergraduate,Hybrid,Engineering,22.0,11,9.0,2.7,2.83,1.9,2.3,3.5,3.2,4.0,1,0,0.0,1,0
183,Graduate,On-campus,Engineering,32.0,14,12.0,3.0,2.82,2.9,3.3,3.6,3.5,6.0,0,0,3442.0,0,0
184,Graduate,Hybrid,Engineering,40.0,13,11.0,2.92,3.02,3.0,3.2,3.1,3.4,4.0,1,0,2660.0,0,1
185,Undergraduate,Online,Business,21.0,9,9.0,2.95,3.17,3.7,3.5,3.7,3.1,6.0,1,0,0.0,0,0
186,Undergraduate,Hybrid,Business,22.0,10,10.0,2.64,2.68,3.2,3.7,3.0,3.1,7.0,0,0,1539.0,1,0
187,Graduate,Hybrid,Engineering,31.0,12,11.0,2.86,3.06,2.1,2.0,2.7,2.7,3.0,1,0,2219.0,0,0
188,Undergraduate,Online,Engineering,18.0,13,11.0,3.16,2.95,3.2,3.4,4.3,3.4,6.0,0,0,5507.0,0,0
189,Undergraduate,On-campus,Sciences,20.0,10,8.0,3.22,2.95,2.7,2.7,2.8,3.1,7.0,1,0,3447.0,1,0
190,Undergraduate,On-campus,Health,24.0,14,12.0,2.77,2.81,2.3,2.2,3.5,3.3,5.0,1,1,1978.0,0,0
191,Undergraduate,Online,Engineering,23.0,15,15.0,2.39,2.3,3.1,3.3,3.8,3.4,8.0,1,1,721.0,1,0
192,Graduate,On-campus,Sciences,33.0,9,8.0,3.38,3.51,3.5,4.1,3.2,3.5,5.0,0,0,2648.0,1,1
193,Graduate,Online,Sciences,35.0,9,7.0,3.54,3.49,3.1,3.2,3.4,3.9,6.0,1,0,3474.0,0,0
194,Undergraduate,Online,Engineering,21.0,13,11.0,3.06,3.08,3.1,3.7,3.4,3.4,7.0,1,0,2797.0,0,0
195,Undergraduate,Online,Engineering,15.0,6,6.0,2.5,2.51,2.8,2.7,3.2,3.5,1.0,0,1,4782.0,0,0
196,Undergraduate,Online,Business,23.0,13,11.0,3.43,3.45,3.2,3.2,3.5,3.5,4.0,1,0,4306.0,0,0
197,Graduate,Online,Sciences,34.0,10,9.0,3.3,3.22,3.2,2.8,3.0,3.1,6.0,1,0,1819.0,1,1
198,Graduate,Online,Sciences,32.0,6,6.0,3.57,3.37,3.2,3.0,3.8,3.0,7.0,1,0,3160.0,0,0
199,Graduate,Hybrid,Education,25.0,9,7.0,3.75,3.72,3.4,3.3,3.0,2.7,6.0,1,0,3358.0,1,1
200,Graduate,On-campus,Engineering,27.0,7,5.0,3.43,3.65,2.9,2.8,2.7,3.0,8.0,1,1,954.0,0,1
201,Undergraduate,Hybrid,Business,26.0,9,7.0,3.9,3.81,3.6,3.3,2.6,3.7,4.0,0,1,2532.0,1,1
202,Undergraduate,Online,Business,21.0,13,11.0,3.52,3.43,3.2,3.0,3.4,3.0,3.0,0,1,4584.0,0,0
203,Undergraduate,Online,Engineering,20.0,10,9.0,2.39,2.41,3.2,3.1,3.5,3.6,7.0,1,1,2003.0,0,1
204,Graduate,On-campus,Sciences,24.0,6,5.0,3.36,3.18,2.8,3.2,2.9,3.0,5.0,0,0,2691.0,0,1
